date,abstract,rating,workLifeBalance,cultureAndValues,careerOpportunities,compensationAndBenefits,seniorManagement,authorJobTitle,tenure,pro,con
"June 12, 2020",Nice place to work,5.0,,,,,,Former Employee - Senior Executive,I worked at Bharti Airtel full-time,"Good salary, benefits, good culture and values","More work load, no work-life balance"
"June 30, 2020",Zsm,3.0,,,,,,Former Employee - Zonal Sales Manager,I worked at Bharti Airtel full-time for more than 8 years,"5 day working , work life balance",Nothing everything is good for employees
"June 14, 2020",good learning experience,5.0,5.0,4.0,5.0,5.0,5.0,Current Employee - Maintenance Technician,I have been working at Bharti Airtel full-time for more than a year,good work and life balance,small lack of professionalism .
"June 14, 2020",Good Company,5.0,,,,,,Current Employee - Deployment Manager,I have been working at Bharti Airtel full-time,"Team Management, Quality Management,Time Management,Inventory Management, Stakeholder Management",New team build & complete the within timeline
"June 11, 2020",Operations Intensive Industry,4.0,2.0,2.0,4.0,5.0,2.0,Former Employee - Product Manager,I worked at Bharti Airtel full-time,Action Oriented Company. You learn a lot by being in the fast paced environment.,Changing Priorities are a cause for great concern. Every metric is top down rather than business backwards
"June 10, 2020",Good company to work with,4.0,,,,,,Former Employee - Airline Operations & Customers Services,I worked at Bharti Airtel full-time,"Employee friendly, caring,well organized management along with maintaining good decipline throughout management.",Puts lots of Work pressure sometimes when the company is in need of achieving targets. Which is manageable but slightly put us under pressure for a time being
"June 21, 2020",Good company with strong HR policy,3.0,3.0,1.0,4.0,4.0,1.0,Former Employee - Account Manager,I worked at Bharti Airtel full-time,Good company with strong HR policies,"Not company but the whole industry is non compliant, frequent structure changes and job threat"
"June 21, 2020",good company for those who like hard labour,2.0,2.0,4.0,2.0,2.0,4.0,Current Employee - Senior RF Planning and Optimization Engineer,I have been working at Bharti Airtel full-time for more than 3 years,"Good for personal development, if challenging tasks",Pay is not good for local employees
"June 3, 2020",Good communication,5.0,5.0,5.0,5.0,5.0,5.0,Current Employee - Management Trainee,I have been working at Bharti Airtel full-time for more than 3 years,Good organization and well groomed,Good communication and good organization
"June 16, 2020",Not so great workplace,2.0,1.0,4.0,3.0,5.0,2.0,Former Employee - Assistant Manager,I worked at Bharti Airtel full-time,decent pay depending on the position,Not so great workplace atmosphere
"June 2, 2020",Good company,4.0,4.0,4.0,4.0,4.0,4.0,Former Employee - Anonymous Employee,I worked at Bharti Airtel full-time,Everything was best related to salary,Location was not good which i choose
"May 28, 2020",Communicate with liasion and uk office,4.0,3.0,2.0,2.0,2.0,3.0,Current Employee - Senior Merchandiser,I have been working at Bharti Airtel full-time for more than 10 years,I love thier timing 😍,They have no working plan
"July 2, 2020",Ridiculous Finance Deptt.,1.0,1.0,1.0,2.0,4.0,1.0,Former Employee - Deputy General Manager,I worked at Bharti Airtel full-time for more than a year,1. Flashy infrastructure 2. Easy to locate.,1. Perception based. 2. Unclear roles. 3. Licking prevails. 4. Attitude of killing employees.
"May 21, 2020",excellent organization but very slow promotion,5.0,5.0,5.0,2.0,3.0,5.0,Former Employee - Assistant Manager,I worked at Bharti Airtel full-time for more than 5 years,excellent work environment.Brand name.u will get lots of other job opportunities if ur associates with bharti group,very slow increment and promotion
"May 23, 2020",Good Culture and Perks,4.0,4.0,4.0,4.0,4.0,4.0,Current Employee - Anonymous Employee,I have been working at Bharti Airtel full-time for less than a year,Good management  Good Culture and growth options  Work life balance,"Salary hikes , promotion opportunities"
"June 4, 2020",I would not recommend fresher to join Airtel NOC,3.0,1.0,2.0,2.0,2.0,3.0,Current Employee - Network Executive Engineer,I have been working at Bharti Airtel full-time,No specific working hours for mangers,"No work life balance , less perks, less salary as per market standard, no promotion ,"
